"Alter","Weiblich","Bezugsdauer","Vitality1","Vitality2","Sozial1","Sozial2","Mastery1","Mastery2","Perspektive1","Perspektive2","Interventionsgruppe"
61,0,18,NA,NA,NA,NA,NA,NA,NA,NA,1
60,0,40,3.5,3,2,1,3.5,3.75,4.5,3.25,1
59,0,82,2,2.5,2,2,2.25,3.25,1.25,2,0
58,0,32,2.25,1.5,4,3.66666666666667,3,2.75,2.5,2.5,0
58,100,11,3.75,4,5,3.66666666666667,4,3.25,2.5,3.75,1
57,0,90,3,4.5,1,2,3,3.5,1,1,1
57,100,3,NA,NA,NA,NA,NA,NA,NA,NA,1
56,0,79,4.5,3.25,4.66666666666667,2.33333333333333,3.75,3.5,4.75,4.25,1
48,100,91,4,4.5,4,5,3,5,3,4.75,0
45,100,20,4.5,3,3.33333333333333,5,3.5,4,5,5,1
45,100,53,2.25,2.25,1.33333333333333,3,1.75,2.75,3,2,0
44,0,126,2.75,2.75,1.66666666666667,2,3,3.5,2.75,4,1
43,0,61,2.75,3,4.33333333333333,1,3.75,2.75,1,1,1
42,100,115,3.25,2.75,2.66666666666667,2.33333333333333,3.5,2.5,3.5,2.75,0
40,0,44,1,2,1,2.33333333333333,4.25,4.25,3,2.25,0
40,0,1,1.25,2.25,3,1.66666666666667,1,2.5,4.75,4.5,0
39,0,116,4.25,4.75,5,4.33333333333333,4.75,4.5,5,5,1
35,100,35,4.75,5,4.33333333333333,4,3.75,3.5,4.25,4.25,0
34,0,37,NA,NA,NA,NA,NA,NA,NA,NA,1
34,100,49,3.5,4.25,4,4,4.25,4.25,1.75,3.25,0
33,0,29,3.75,4.5,2.33333333333333,3.33333333333333,3.75,3.5,3.5,4,1
33,0,6,4.75,4.75,1,1,5,4.5,3.5,3,1
32,100,39,2.75,3.5,4,3.66666666666667,2.25,3,2,2.75,1
31,100,57,4,4,3.66666666666667,4.66666666666667,3.25,2.5,1.5,2,1
28,100,2,4.5,4.75,5,4.66666666666667,5,5,4.25,4.75,1
26,100,22,4.25,4.5,3.33333333333333,3.33333333333333,4.5,3.5,4.75,4.5,0
25,0,33,4,4,2.66666666666667,2.66666666666667,3.5,3,3.5,4,1
22,100,11,1.75,4.5,4,1.66666666666667,1.75,1.75,4,2.5,1
52,0,119,1,1,3,2.66666666666667,2.25,2,3.5,2,1
49,0,3,3.5,4,4,2.66666666666667,3.5,3.75,4,3.75,1
45,0,122,NA,NA,NA,NA,NA,NA,NA,NA,1
30,0,43,2.75,3,3.33333333333333,2.66666666666667,3,3,3.5,4.75,1
27,100,14,4,4.5,4.66666666666667,4,2.75,3,4.25,5,1
23,100,9,4,4.5,5,4,4,4.25,4.75,4.5,1
51,0,4,4,4.5,3.66666666666667,4,3,4,3,5,1
51,100,74,3.5,4,1.66666666666667,4.33333333333333,1.25,1.5,2.75,2.5,1
40,0,68,1.5,3.75,1.66666666666667,3.66666666666667,2,2.25,4.25,3.75,1
22,100,18,1.75,2,2.66666666666667,3.33333333333333,1.25,1,2,2.25,0
59,0,171,NA,NA,NA,NA,NA,NA,NA,NA,1
54,0,78,4,4.25,2.66666666666667,3.66666666666667,3.5,3.25,2.5,3,1
53,100,79,1.75,2.5,1,3.33333333333333,3,1.75,3.75,1,1
47,0,90,2,2,2,2.66666666666667,3,2.75,1.75,2.25,1
54,0,17,3,3.25,4,3,4,3,3.5,3.75,1
42,100,37,5,4.5,5,2.33333333333333,4,4.75,5,5,0
51,100,3,4.75,4.5,3.66666666666667,4.66666666666667,4.25,3.25,3,3.75,1
36,0,177,3.5,3.5,1.66666666666667,3.33333333333333,3.75,3.25,3,3.5,1
23,0,3,NA,NA,NA,NA,NA,NA,NA,NA,1
66,0,2,NA,NA,NA,NA,NA,NA,NA,NA,1
61,100,17,3.5,4,5,5,2.75,3,3,4,1
45,0,193,2.75,3.5,5,5,3.5,3.75,4.5,4.5,1
41,100,20,4.25,3.75,5,3.33333333333333,3.25,3,4.25,3.25,0
38,0,7,1.5,2.75,2.33333333333333,2.33333333333333,1.25,1.5,2.5,2.5,1
34,0,50,NA,NA,NA,NA,NA,NA,NA,NA,1
56,100,136,3.5,1.75,4.33333333333333,5,4.75,3.75,2.75,4.75,1
55,100,13,2.75,2.25,3.33333333333333,1,2.75,3.5,4.25,3.25,1
49,0,12,2.75,4,4,4,3,2.5,3,3,1
42,0,20,2.5,3.5,2,3.33333333333333,3,3,3,2.5,1
35,0,1,4.5,4.5,2,2,3,3.75,2.5,2.5,1
65,0,88,3,3,5,4.66666666666667,2,2.5,1,1,0
60,0,68,NA,NA,NA,NA,NA,NA,NA,NA,1
34,0,32,3.5,3.5,4,2.66666666666667,3.25,2.5,4.25,3.75,0
54,100,51,2.5,2.25,3.66666666666667,3.66666666666667,2.5,3,1.5,2.25,0
41,100,107,2.5,2.75,3.66666666666667,2.66666666666667,2.75,2.25,3,3,0
39,100,-Inf,NA,NA,NA,NA,NA,NA,NA,NA,1
53,100,44,3,4.5,2.33333333333333,1,2.25,2.75,1,1,1
47,0,155,4,4,4.66666666666667,4.66666666666667,3.75,3.75,4.25,5,1
42,100,109,2.5,2.75,3,3,2.25,2.75,2.75,3,1
28,100,39,NA,NA,NA,NA,NA,NA,NA,NA,1
57,0,77,4,3.75,3.33333333333333,2.33333333333333,2.5,3.25,3.25,5,1
42,100,49,NA,NA,NA,NA,NA,NA,NA,NA,1
33,0,9,2.25,3,3.66666666666667,4,2.5,3.5,2.75,3.5,1
32,100,4,4,4.5,4.33333333333333,3.33333333333333,4.5,4,4.75,4,1
23,100,41,NA,NA,NA,NA,NA,NA,NA,NA,1
60,0,10,3.25,4,2,1.33333333333333,2.25,4.5,3.25,3,1
44,0,15,3.75,3,5,5,3.75,3,1,5,1
42,0,70,3.5,2.5,3,3,3,3,3,3,1
36,0,81,4,3.75,2.33333333333333,4.66666666666667,3.75,4.5,3,4,1
60,0,309,2.5,2.5,4,3.66666666666667,3.25,3,2.75,3.5,0
